time;vx;ax;vy;ay;vz;az;;;Standing by (on table) with Updated Kalman Filter;;;;;;;;;;
24,6;0;1,1;-0,3;-1,8;0,3;-0,3;;;;;;;;;;;;;
24,7;0;3;-0,3;1,1;0,3;2,4;;;;;;;;;;;;;
24,8;0;0,9;-0,3;-0,7;0,3;6,1;;;;;;;;;;;;;
24,9;0;-4;-0,3;-3,2;0,3;8,3;;;;;;;;;;;;;
25;0;-2,5;-0,3;-4;0,3;-0,1;;;;;;;;;;;;;
25,1;0;-1,3;-0,3;-4,7;0,3;3,4;;;;;;;;;;;;;
25,2;0;1,3;-0,3;-1,5;0,3;2,4;;;;;;;;;;;;;
25,3;0;0,7;-0,3;-4;0,3;5,1;;;;;;;;;;;;;
25,4;0;1,5;-0,3;-5,6;0,3;-0,5;;;;;;;;;;;;;
25,5;0;3;-0,3;-2,2;0,4;11,1;;;;;;;;;;;;;
25,6;0;2,8;-0,3;-2,3;0,4;3,5;;;;;;;;;;;;;
25,7;0;1,4;-0,3;-1,8;0,4;4,4;;;;;;;;;;;;;
25,8;0;1,1;-0,3;-3,8;0,4;5,3;;;;;;;;;;;;;
25,9;0;4,8;-0,3;-0,5;0,4;0,3;;;;;;;;;;;;;
26;0;2,1;-0,3;-1,7;0,4;5,5;;;;;;;;;;;;;
26,1;0;1,3;-0,3;-3,9;0,4;5,7;;;;;;;;;;;;;
26,2;0,1;3,8;-0,3;-3,6;0,4;7,7;;;;;;;;;;;;;
26,3;0;-0,9;-0,3;-4,2;0,4;3,1;;;;;;;;;;;;;
26,4;0;-1,1;-0,3;-1,8;0,4;6,9;;;;;;;;;;;;;
26,5;0;-0,2;-0,3;0;0,4;1,9;;;;;;;;;;;;;
26,6;0;-1,6;-0,3;-5,9;0,4;0,6;;;;;;;;;;;;;
26,7;0;-0,4;-0,3;-1,6;0,3;-2;;;;;;;;;;;;;
26,8;0;-4,7;-0,3;-2;0,3;1,5;;;;;;;;;;;;;
26,9;0;-0,4;-0,3;-3,7;0,3;1,9;;;;;;;;;;;;;
27;0;-3,8;-0,3;-5,4;0,4;7;;;;;;;;;;;;;
27,1;0;-4,6;-0,3;-4,5;0,4;7,5;;;;;;;;;;;;;
27,2;0;0,2;-0,3;-1,6;0,4;5,6;;;;;;;;;;;;;
27,3;0;-4,8;-0,3;1,4;0,4;7,1;;;;;;;;;;;;;
27,4;0;-1,7;-0,3;-3,8;0,4;5,2;;;;;;;;;;;;;
27,5;0;2,1;-0,3;-3,9;0,4;10,1;;;;;;;;;;;;;
27,6;0;-5;-0,3;-1,6;0,4;2,3;;;;;;;;;;;;;
27,7;0;-0,9;-0,3;-4,8;0,4;9,6;;;;;;;;;;;;;
27,8;0;-0,7;-0,3;-2,6;0,4;-0,5;;;;;;;;;;;;;
27,9;0;-0,8;-0,3;-4,3;0,4;-1,6;;;;;;;;;;;;;
28;0;-4,1;-0,3;-9;0,4;6;;;;;;;;;;;;;
28,1;0;2,6;-0,3;-2,6;0,4;4,9;;;;;;;;;;;;;
28,2;0;0,3;-0,3;-1,8;0,4;4,3;;;;;;;;;;;;;
28,3;0;-0,7;-0,3;-3,8;0,4;5;;;;;;;;;;;;;
28,4;0;-2,4;-0,3;-3,3;0,4;-0,7;;;;;;;;;;;;;
28,5;0;1,2;-0,3;0,1;0,4;2,2;;;;;;;;;;;;;
28,6;0;-3,4;-0,3;-0,7;0,4;7,9;;;;;;;;;;;;;
28,7;0;-2,2;-0,3;-5;0,4;-0,5;;;;;;;;;;;;;
28,8;0;-0,1;-0,3;-6,7;0,4;1,2;;;;;;;;;;;;;
28,9;0;-1,6;-0,3;-2;0,4;-0,2;;;;;;;;;;;;;
29;0;-5,4;-0,3;-2,2;0,4;4,6;;;;;;;;;;;;;
29,1;-0,1;-2,8;-0,3;-0,8;0,4;4,3;;;;;;;;;;;;;
29,2;-0,1;-6,8;-0,3;-2,5;0,4;0,9;;;;;;;;;;;;;
29,3;-0,1;-0,9;-0,3;-4;0,3;2,5;;;;;;;;;;;;;
29,4;-0,1;2,2;-0,3;2,7;0,4;6,2;;;;;;;;;;;;;
29,5;-0,1;-1,2;-0,3;-5,4;0,4;2,1;;;;;;;;;;;;;
29,6;-0,1;-0,9;-0,3;-1,3;0,4;5,8;;;;;;;;;;;;;
29,7;-0,1;-2,1;-0,3;0,6;0,3;-0,6;;;;;;;;;;;;;
29,8;-0,1;-1,6;-0,3;-6,1;0,3;3,4;;;;;;;;;;;;;
29,9;-0,1;-1,4;-0,3;-2,5;0,4;10,4;;;;;;;;;;;;;
30;-0,1;-1,9;-0,3;-5,6;0,4;3,3;;;;;;;;;;;;;
30,1;-0,1;-3,6;-0,3;-4,7;0,4;-1,2;;;;;;;;;;;;;
30,2;-0,1;-3,3;-0,3;-5,8;0,4;3,2;;;;;;;;;;;;;
30,3;-0,1;4;-0,3;-3,1;0,4;5,3;;;;;;;;;;;;;
30,4;-0,1;-0,7;-0,3;-0,6;0,3;1,5;;;;;;;;;;;;;
